what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358221995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358265749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358268285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358291490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358353205
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1344358449562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1344358449728
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1344358450078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344358456635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358458273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358495971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358510073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358520808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344358537798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358564408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358565323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358566719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358577682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358580686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358613087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358635090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358644964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358696020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358709484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358715217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358715962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344358722670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344358725874
